año,eleccion_tipo,recuento_tipo,padron_tipo,distrito_id,distrito_nombre,seccionprovincial_id,seccionprovincial_nombre,seccion_id,seccion_nombre,circuito_id,mesa_id,mesa_tipo,mesa_electores,cargo_nombre,votos_tipo,votos_cantidad,cargo_id,agrupacion_id,agrupacion_nombre,lista_numero,lista_nombre
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1445,NATIVOS,351,DIPUTADOS PROVINCIALES,POSITIVO,2,6,112,UNION POR TODOS,1,UNIDAD
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1445,NATIVOS,351,DIPUTADOS PROVINCIALES,POSITIVO,51,6,506,JUNTOS,1,A
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1445,NATIVOS,351,DIPUTADOS PROVINCIALES,POSITIVO,15,6,506,JUNTOS,5,DAR EL PASO
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1445,NATIVOS,351,DIPUTADOS PROVINCIALES,POSITIVO,98,6,507,FRENTE DE TODOS,5,CELESTE Y BLANCA 2
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1445,NATIVOS,351,DIPUTADOS PROVINCIALES,POSITIVO,0,6,508,FRENTE VAMOS CON VOS,2,HAY OTRO CAMINO
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1445,NATIVOS,351,DIPUTADOS PROVINCIALES,POSITIVO,6,6,508,FRENTE VAMOS CON VOS,1,HACER OTRO CAMINO
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1445,NATIVOS,351,DIPUTADOS PROVINCIALES,POSITIVO,2,6,508,FRENTE VAMOS CON VOS,4,POR EL PROGRESO SOCIAL
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1445,NATIVOS,351,DIPUTADOS PROVINCIALES,POSITIVO,3,6,766,RENOVADOR FEDERAL,1,SOMOS RENOVADORES
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1445,NATIVOS,351,DIPUTADOS PROVINCIALES,POSITIVO,1,6,864,MOVIMIENTO ORGANIZACION DEMOCRATICA,1,CREER
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1443,NATIVOS,354,DIPUTADOS PROVINCIALES,POSITIVO,9,6,504,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,2,UNIDAD DE LA IZQUIERDA
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1443,NATIVOS,354,DIPUTADOS PROVINCIALES,POSITIVO,11,6,504,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,1,(R)EVOLUCIONEMOS LA IZQUIERDA
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1443,NATIVOS,354,DIPUTADOS PROVINCIALES,POSITIVO,1,6,112,UNION POR TODOS,1,UNIDAD
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1443,NATIVOS,354,DIPUTADOS PROVINCIALES,POSITIVO,56,6,506,JUNTOS,1,A
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1443,NATIVOS,354,DIPUTADOS PROVINCIALES,POSITIVO,24,6,506,JUNTOS,5,DAR EL PASO
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1443,NATIVOS,354,DIPUTADOS PROVINCIALES,POSITIVO,68,6,507,FRENTE DE TODOS,5,CELESTE Y BLANCA 2
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1443,NATIVOS,354,DIPUTADOS PROVINCIALES,POSITIVO,2,6,508,FRENTE VAMOS CON VOS,2,HAY OTRO CAMINO
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1443,NATIVOS,354,DIPUTADOS PROVINCIALES,POSITIVO,2,6,508,FRENTE VAMOS CON VOS,1,HACER OTRO CAMINO
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1443,NATIVOS,354,DIPUTADOS PROVINCIALES,POSITIVO,2,6,508,FRENTE VAMOS CON VOS,4,POR EL PROGRESO SOCIAL
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1443,NATIVOS,354,DIPUTADOS PROVINCIALES,POSITIVO,5,6,766,RENOVADOR FEDERAL,1,SOMOS RENOVADORES
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1443,NATIVOS,354,DIPUTADOS PROVINCIALES,POSITIVO,0,6,864,MOVIMIENTO ORGANIZACION DEMOCRATICA,1,CREER
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1444,NATIVOS,355,DIPUTADOS PROVINCIALES,NULOS,6,6,undefined,undefined,undefined,undefined
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1444,NATIVOS,355,DIPUTADOS PROVINCIALES,RECURRIDOS,1,6,undefined,undefined,undefined,undefined
2021,PASO,PROVISORIO,COMANDO,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1444,NATIVOS,355,DIPUTADOS PROVINCIALES,COMANDO,0,6,undefined,undefined,undefined,undefined
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1444,NATIVOS,355,DIPUTADOS PROVINCIALES,BLANCOS,16,6,undefined,undefined,undefined,undefined
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1444,NATIVOS,355,DIPUTADOS PROVINCIALES,IMPUGNADOS,0,6,undefined,undefined,undefined,undefined
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1444,NATIVOS,355,DIPUTADOS PROVINCIALES,POSITIVO,1,6,8,FEDERAL,2,CELESTE Y BLANCA
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1444,NATIVOS,355,DIPUTADOS PROVINCIALES,POSITIVO,4,6,8,FEDERAL,3,FEDERALISMO PURO
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1444,NATIVOS,355,DIPUTADOS PROVINCIALES,POSITIVO,1,6,19,CONSERVADOR POPULAR,1,UNICA
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1444,NATIVOS,355,DIPUTADOS PROVINCIALES,POSITIVO,5,6,255,MOVIMIENTO AL SOCIALISMO,1,PARA RENOVAR A LA IZQUIERDA
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1444,NATIVOS,355,DIPUTADOS PROVINCIALES,POSITIVO,0,6,258,CORRIENTE DE PENSAMIENTO BONAERENSE,1,CORRIENTE DE PENSAMIENTO AUTENTICA
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1444,NATIVOS,355,DIPUTADOS PROVINCIALES,POSITIVO,0,6,298,TODOS POR BUENOS AIRES,1,TODOS POR LA PROVINCIA
2021,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,0508D,1444,NATIVOS,355,DIPUTADOS PROVINCIALES,POSITIVO,2,6,312,FRENTE PATRIOTA,2,PRIMERO LA PATRIA
