Año,eleccion_tipo,recuento_tipo,padron_tipo,distrito_id,distrito_nombre,seccionprovincial_id,seccionprovincial_nombre,seccion_id,seccion_nombre,circuito_id,mesa_id,mesa_electores,mesa_tipo,cargo_id,cargo_nombre,agrupacion_id,agrupacion_nombre,lista_numero,lista_nombre,votos_tipo,votos_cantidad
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,000501,873,353,NATIVOS,4,GOBERNADOR         ,02-309,MOVIMIENTO ORGANIZACION DEMOCRATICA,A,AZUL Y BLANCO,POSITIVO,2
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,000501,873,353,NATIVOS,4,GOBERNADOR         ,02-865,FRENTE PATRIOTA,A,LEALTAD,POSITIVO,0
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,000501,874,348,NATIVOS,4,GOBERNADOR         ,02-309,MOVIMIENTO ORGANIZACION DEMOCRATICA,A,AZUL Y BLANCO,POSITIVO,0
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,000501,874,348,NATIVOS,4,GOBERNADOR         ,02-865,FRENTE PATRIOTA,A,LEALTAD,POSITIVO,0
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,000496,332,351,NATIVOS,4,GOBERNADOR         ,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A,UNIDAD,POSITIVO,18
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,000488,246,350,NATIVOS,4,GOBERNADOR         ,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A,UNIDAD,POSITIVO,19
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,000501,855,350,NATIVOS,4,GOBERNADOR         ,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A,UNIDAD,POSITIVO,9
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,000501,856,351,NATIVOS,4,GOBERNADOR         ,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A,UNIDAD,POSITIVO,12
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,000501,875,353,NATIVOS,4,GOBERNADOR         ,02-309,MOVIMIENTO ORGANIZACION DEMOCRATICA,A,AZUL Y BLANCO,POSITIVO,1
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,000501,875,353,NATIVOS,4,GOBERNADOR         ,02-865,FRENTE PATRIOTA,A,LEALTAD,POSITIVO,0
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,000501,876,351,NATIVOS,4,GOBERNADOR         ,02-309,MOVIMIENTO ORGANIZACION DEMOCRATICA,A,AZUL Y BLANCO,POSITIVO,0
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,000501,876,351,NATIVOS,4,GOBERNADOR         ,02-865,FRENTE PATRIOTA,A,LEALTAD,POSITIVO,2
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,000501,877,350,NATIVOS,4,GOBERNADOR         ,02-309,MOVIMIENTO ORGANIZACION DEMOCRATICA,A,AZUL Y BLANCO,POSITIVO,0
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,000501,877,350,NATIVOS,4,GOBERNADOR         ,02-865,FRENTE PATRIOTA,A,LEALTAD,POSITIVO,0
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,000501,857,349,NATIVOS,4,GOBERNADOR         ,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A,UNIDAD,POSITIVO,14
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,000501,858,350,NATIVOS,4,GOBERNADOR         ,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A,UNIDAD,POSITIVO,20
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,000501,859,353,NATIVOS,4,GOBERNADOR         ,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A,UNIDAD,POSITIVO,11
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,000501,860,350,NATIVOS,4,GOBERNADOR         ,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A,UNIDAD,POSITIVO,8
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00508C,1412,260,NATIVOS,4,GOBERNADOR         ,02-816,PARTIDO DIGNIDAD POPULAR,1A,POR LA VIDA,POSITIVO,0
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00508D,1413,350,NATIVOS,4,GOBERNADOR         ,02-1911,FRENTE NOS,A,LINEA ÚNICA,POSITIVO,6
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00508D,1413,350,NATIVOS,4,GOBERNADOR         ,02-503,FRENTE DE TODOS,2,CELESTE Y BLANCA,POSITIVO,158
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00508D,1413,350,NATIVOS,4,GOBERNADOR         ,02-816,PARTIDO DIGNIDAD POPULAR,1A,POR LA VIDA,POSITIVO,1
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00508D,1414,350,NATIVOS,4,GOBERNADOR         ,02-1911,FRENTE NOS,A,LINEA ÚNICA,POSITIVO,3
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00508C,1394,349,NATIVOS,4,GOBERNADOR         ,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A,UNIDAD,POSITIVO,14
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00508C,1396,350,NATIVOS,4,GOBERNADOR         ,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A,UNIDAD,POSITIVO,10
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00508C,1397,348,NATIVOS,4,GOBERNADOR         ,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A,UNIDAD,POSITIVO,10
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00508D,1414,350,NATIVOS,4,GOBERNADOR         ,135,JUNTOS POR EL CAMBIO,1A,1A,POSITIVO,72
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00504A,1155,350,NATIVOS,4,GOBERNADOR         ,135,JUNTOS POR EL CAMBIO,1A,1A,POSITIVO,121
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00508C,1398,350,NATIVOS,4,GOBERNADOR         ,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A,UNIDAD,POSITIVO,7
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00508E,1455,351,NATIVOS,4,GOBERNADOR         ,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A,UNIDAD,POSITIVO,5
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00508E,1456,350,NATIVOS,4,GOBERNADOR         ,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A,UNIDAD,POSITIVO,21
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00508E,1457,350,NATIVOS,4,GOBERNADOR         ,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A,UNIDAD,POSITIVO,12
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00504A,1156,351,NATIVOS,4,GOBERNADOR         ,135,JUNTOS POR EL CAMBIO,1A,1A,POSITIVO,125
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00508E,1458,350,NATIVOS,4,GOBERNADOR         ,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A,UNIDAD,POSITIVO,13
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00508E,1459,350,NATIVOS,4,GOBERNADOR         ,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A,UNIDAD,POSITIVO,6
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00508E,1460,194,NATIVOS,4,GOBERNADOR         ,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A,UNIDAD,POSITIVO,3
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00508E,1461,197,NATIVOS,4,GOBERNADOR         ,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A,UNIDAD,POSITIVO,3
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00504A,1147,350,NATIVOS,4,GOBERNADOR         ,02-276,MOVIMIENTO DE AVANZADA SOCIALISTA,1A,UNIDAD DE LA IZQUIERDA,POSITIVO,2
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00504A,1148,350,NATIVOS,4,GOBERNADOR         ,02-276,MOVIMIENTO DE AVANZADA SOCIALISTA,1A,UNIDAD DE LA IZQUIERDA,POSITIVO,3
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00504A,1149,350,NATIVOS,4,GOBERNADOR         ,02-276,MOVIMIENTO DE AVANZADA SOCIALISTA,1A,UNIDAD DE LA IZQUIERDA,POSITIVO,4
