anio,nivel,circuito_id_crudo,circuito_id_canonico
2013,provincial,0516,516
2013,provincial,0517,517
2013,provincial,0518,518
2013,provincial,0519,519
2013,provincial,0520,520
2013,provincial,0521,521
2015,gobernador,0460,460
2015,gobernador,0461,461
2015,gobernador,0462,462
2015,gobernador,0463,463
2015,gobernador,0464,464
2015,gobernador,0465,465
2015,gobernador,0466,466
2015,gobernador,0467,467
2015,gobernador,0468,468
2015,gobernador,0469,469
2015,gobernador,0471,471
2015,gobernador,0472,472
2015,gobernador,0473,473
2015,gobernador,0474,474
2015,gobernador,0475,475
2015,gobernador,0476,476
2015,gobernador,0477,477
2015,gobernador,0480,480
2015,gobernador,0481,481
2015,gobernador,0482,482
2015,gobernador,0483,483
2015,gobernador,0484,484
2015,gobernador,0485,485
2015,gobernador,0486,486
2015,gobernador,0487,487
2015,gobernador,0488,488
2015,gobernador,0495,495
2015,gobernador,0496,496
2015,gobernador,0496A,496A
2015,gobernador,0496B,496B
2015,gobernador,0496C,496C
2015,gobernador,0496D,496D
2015,gobernador,0496E,496E
2015,gobernador,0496F,496F
2015,gobernador,0497,497
2015,gobernador,0497A,497A
2015,gobernador,0497B,497B
2015,gobernador,0497C,497C
2015,gobernador,0497D,497D
2015,gobernador,0497E,497E
2015,gobernador,0497F,497F
2015,gobernador,0498,498
2015,gobernador,0501,501
2015,gobernador,0502,502
2015,gobernador,0503,503
2015,gobernador,0503A,503A
2015,gobernador,0504,504
2015,gobernador,0504A,504A
2015,gobernador,0505,505
2015,gobernador,0505A,505A
2015,gobernador,0505B,505B
2015,gobernador,0508,508
2015,gobernador,0508A,508A
2015,gobernador,0508B,508B
2015,gobernador,0508C,508C
2015,gobernador,0508D,508D
2015,gobernador,0508E,508E
2015,gobernador,0508F,508F
2015,gobernador,0508G,508G
2015,gobernador,0509,509
2015,gobernador,0509A,509A
2015,gobernador,0516,516
2015,gobernador,0517,517
2015,gobernador,0518,518
2015,gobernador,0519,519
2015,gobernador,0520,520
2015,gobernador,0521,521
2015,intendente,0460,460
2015,intendente,0461,461
2015,intendente,0462,462
2015,intendente,0463,463
2015,intendente,0464,464
2015,intendente,0465,465
2015,intendente,0466,466
2015,intendente,0467,467
2015,intendente,0468,468
2015,intendente,0469,469
2015,intendente,0471,471
2015,intendente,0472,472
2015,intendente,0473,473
2015,intendente,0474,474
2015,intendente,0475,475
2015,intendente,0476,476
2015,intendente,0477,477
