Año,eleccion_tipo,recuento_tipo,padron_tipo,distrito_id,distrito_nombre,seccionprovincial_id,seccionprovincial_nombre,seccion_id,seccion_nombre,circuito_id,mesa_id,mesa_electores,mesa_tipo,cargo_id,cargo_nombre,votos_tipo,votos_cantidad,agrupacion_id,agrupacion_nombre,lista_numero,lista_nombre
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0509 ,1266,350,NATIVOS,4,GOBERNADOR/A,IMPUGNADO,0,undefined,undefined,undefined,undefined
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0517 ,1311,351,NATIVOS,4,GOBERNADOR/A,IMPUGNADO,0,undefined,undefined,undefined,undefined
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0504 ,1010,351,NATIVOS,4,GOBERNADOR/A,IMPUGNADO,0,undefined,undefined,undefined,undefined
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0520 ,1362,350,NATIVOS,4,GOBERNADOR/A,IMPUGNADO,1,undefined,undefined,undefined,undefined
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0504A,1062,351,NATIVOS,4,GOBERNADOR/A,IMPUGNADO,0,undefined,undefined,undefined,undefined
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497 ,546,348,NATIVOS,4,GOBERNADOR/A,POSITIVO,5,0517,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,undefined,undefined
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0519 ,1328,349,NATIVOS,4,GOBERNADOR/A,POSITIVO,11,0136,ALIANZA PROYECTO SUR,undefined,undefined
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0502 ,809,349,NATIVOS,4,GOBERNADOR/A,POSITIVO,11,0047,COALICION CIVICA ARI,undefined,undefined
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0496C,475,351,NATIVOS,4,GOBERNADOR/A,POSITIVO,9,0510,FRENTE AMPLIO PROGRESISTA,undefined,undefined
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0502 ,845,349,NATIVOS,4,GOBERNADOR/A,POSITIVO,0,0047,COALICION CIVICA ARI,undefined,undefined
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0497C,599,352,NATIVOS,4,GOBERNADOR/A,POSITIVO,6,0510,FRENTE AMPLIO PROGRESISTA,undefined,undefined
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0519 ,1325,349,NATIVOS,4,GOBERNADOR/A,POSITIVO,33,0510,FRENTE AMPLIO PROGRESISTA,undefined,undefined
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0496C,475,351,NATIVOS,4,GOBERNADOR/A,POSITIVO,0,0501,ALIANZA FRENTE PARA LA VICTORIA,3100,ISHII GOBERNADOR N 678
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0496C,475,351,NATIVOS,4,GOBERNADOR/A,POSITIVO,130,0501,ALIANZA FRENTE PARA LA VICTORIA,3101,LISTA 2 CELESTE Y BLANCA K N 2
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0496C,475,351,NATIVOS,4,GOBERNADOR/A,POSITIVO,33,0505,ALIANZA FRENTE POPULAR,3102,FRENTE POPULAR GOBERNADOR
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0496C,475,351,NATIVOS,4,GOBERNADOR/A,POSITIVO,21,0509,COMPROMISO FEDERAL,3106,ES POSIBLE BS AS
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0496C,477,348,NATIVOS,4,GOBERNADOR/A,POSITIVO,0,0509,COMPROMISO FEDERAL,3106,ES POSIBLE BS AS
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0496C,478,350,NATIVOS,4,GOBERNADOR/A,POSITIVO,47,0137,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,3112,CELESTE
2011,PASO,PROVISORIO,NORMAL,2,Buenos Aires,8,Sección Capital,63,La Plata,0496C,478,350,NATIVOS,4,GOBERNADOR/A,POSITIVO,0,0501,ALIANZA FRENTE PARA LA VICTORIA,3100,ISHII GOBERNADOR N 678
