anio,trimestre,sexo,tasa_actividad,tasa_empleo,tasa_desocupacion,tasa_informalidad,ingreso_ocupacion_principal_medio_todos_ocupados,ingreso_ocupacion_principal_medio_perceptores
2018,3,mujer,0.4830103981739792,0.4232031448135937,0.12382187544302733,0.3449887849246158,10497.009031036321,15075.783099317428
2018,3,varon,0.6521895298494981,0.5962907820669952,0.08570936088992777,0.3670157950947144,10915.64317737671,16898.42553719806
2018,4,mujer,0.47329820982589066,0.45304467638570417,0.04279233054280313,0.36144819977936016,11249.801836063354,15624.378533623734
2018,4,varon,0.6020883143547973,0.5608542367386635,0.06848509866915546,0.32944378318376955,13078.544144352441,19699.947495183045
2019,1,mujer,0.47530941113346065,0.4183070690939791,0.11992681126079373,0.33258736059479554,13115.768580773018,16829.309349106672
2019,1,varon,0.6695852598935561,0.6034224090966237,0.09881168950381361,0.379941763775668,15418.585000879686,22366.97519145823
2019,2,mujer,0.5015320143619766,0.4378823455087235,0.126910480349345,0.31956697810303436,13355.33490032943,17488.046840716317
2019,2,varon,0.6676316417780864,0.6088025264802918,0.08811612814083626,0.36513554675601584,17826.68278443781,24158.94404955547
2019,3,mujer,0.49080952834339914,0.4473751251257691,0.08849543602837474,0.2910117503433542,14308.671241386452,21763.9415239662
2019,3,varon,0.6576009865774654,0.6051546555447347,0.07975403337773503,0.3881164337641593,15513.422340392966,25299.16037678092
2019,4,mujer,0.4686399137487934,0.4288289643586947,0.08494997592424161,0.31922155688622755,15601.029281070209,20765.88830291053
2019,4,varon,0.6164618599902719,0.5725544800012828,0.0712248118475358,0.38144529360549484,19652.817700189044,28339.590354472213
2020,1,mujer,0.45643802647412757,0.4118032618992754,0.09778932075323524,0.3707636765758147,13822.398562528755,22626.459001716034
2020,1,varon,0.5813755260774599,0.533035000799105,0.08314853844039219,0.3000347486735362,17883.847445430558,31598.70690473692
2020,2,mujer,0.409421883652209,0.36488969161262946,0.10876847041573445,0.1966324510778328,17440.985420094174,26700.45526425892
2020,2,varon,0.513856249128116,0.4704417903400616,0.08448755631894667,0.18193056267691204,22757.841012773722,36907.73213807104
2020,3,mujer,0.4269590529788473,0.3893524807555469,0.08808004411880564,0.19382927609192951,15775.90696128925,24889.753915880832
2020,3,varon,0.5802244593329852,0.5471600565257853,0.05698553770933766,0.24400841537491494,16859.051043251573,32892.939551786796
2020,4,mujer,0.48013463407961776,0.4215155615696888,0.12208882331993692,0.28708236740558596,18080.50135886099,27573.636479532706
2020,4,varon,0.620611138700168,0.5798236530963727,0.06572148493696424,0.3135071839989873,19388.3419512084,39214.37136114731
2021,1,mujer,0.44352198550318367,0.4141829522245805,0.06615012161193659,0.33679642190878367,15986.104144886724,32842.170400227216
2021,1,varon,0.6196616753570923,0.5873889395718906,0.05208121958906653,0.2633598262810855,20113.955437337172,42061.19542344935
2021,2,mujer,0.48217105893868983,0.4435892002078824,0.08001695252247255,0.30970170782367873,20185.960791450783,36727.646118760415
2021,2,varon,0.6117152016036017,0.5642541051197001,0.07758691685196503,0.28844727956811345,20721.05127132781,47348.75876943608
2021,3,mujer,0.42421986732985467,0.3880138039430075,0.08534740160741922,0.29956582354112726,20319.86048910582,46394.11124599795
2021,3,varon,0.5945635008348891,0.5627658129582236,0.05348072633455464,0.2810882270171925,23043.694810664496,70314.65725291261
2021,4,mujer,0.43111071032255965,0.4206851981273155,0.024182911594666047,0.2944307040014133,20772.13102064391,48573.67885150142
2021,4,varon,0.60180473864532,0.5758462058131243,0.04313447729014094,0.3149280350251415,23966.81952132439,60084.298097783074
2022,1,mujer,0.466535496967533,0.4473619160097778,0.041097796592934326,0.333320067127004,22946.494351669942,47444.61083358915
2022,1,varon,0.6069175372223258,0.5644246193753003,0.07001431865274887,0.2641011586850391,33057.265259417065,75583.75662852358
2022,2,mujer,0.44989004847586533,0.4340886172836506,0.03512287334593573,0.3454943964823851,37118.221408699836,58810.839873268924
2022,2,varon,0.5727937160246573,0.5420709028012589,0.05363678469907639,0.3033747332423154,46063.51038817715,71774.22435054653
2022,3,mujer,0.5282919168773704,0.4928862792351454,0.0670190788674201,0.40822788709140867,55947.12646845177,74481.95685716576
2022,3,varon,0.6466365544948854,0.6115845150915583,0.054206708791320425,0.4209257229575921,62156.555605679794,80321.68021447353
2022,4,mujer,0.5068089885990735,0.47944823333357806,0.0539863259748537,0.2947929199588197,69764.94970065381,91385.67323397305
2022,4,varon,0.6370482952018709,0.5893521400879997,0.07487054823489799,0.3041374346851723,72972.64241391249,106492.2788063332
2023,1,mujer,0.526179302336833,0.48773041753350427,0.07307183051969547,0.34529636322295754,66541.23391760656,102292.50074397381
2023,1,varon,0.6662437975564268,0.6200324868104072,0.06936096203147882,0.32327861147480447,77918.7091847927,132001.93636570734
2023,2,mujer,0.5453681930617518,0.5131456534001421,0.0590840097965909,0.403568112073896,70253.89560640884,110848.70779699732
2023,2,varon,0.6578500251376123,0.6241810939373236,0.05118025372613724,0.4189151583646163,78937.0874604499,134341.28318346475
2023,3,mujer,0.5469736353509098,0.5082304024078019,0.07083199342551899,0.33354268069293974,108322.05449030701,151567.88881678565
2023,3,varon,0.6519046880653331,0.600186075360521,0.07933462306936032,0.3180633628394822,123754.7537849429,185058.16802373398
2023,4,mujer,0.520330625817045,0.48637308426447157,0.06526147004945534,0.35800114684071155,132917.12211273785,190115.56701390794
2023,4,varon,0.6306871575795174,0.6002963172374438,0.04818687042670906,0.37998073184380105,169114.0380330271,255592.19173124136
2024,1,mujer,0.5307287145575889,0.4882813327028801,0.07997943335342718,0.31605292282925845,202597.728893257,273401.2536013336
2024,1,varon,0.6482465626847065,0.5933759895106069,0.08464460335409069,0.37070640540095506,227021.0659556236,379523.2341158509
2024,2,mujer,0.5299614071013797,0.4856714615419498,0.08357202046404381,0.4363257041173222,290622.01768137165,364072.1397191072
2024,2,varon,0.6517094946899054,0.578996137414858,0.11157326672008296,0.40621631754065324,363294.33635282516,498036.98513256025
2024,3,mujer,0.5255743648861315,0.48000784475047475,0.08669852104664391,0.4122095156365626,362470.6275099901,462389.2227204783
2024,3,varon,0.6329882439083919,0.5662068299231175,0.1055018234982247,0.3731652800198684,493378.6740306684,624332.6580004939
2024,4,mujer,0.5213499043437795,0.47452536182494204,0.08981404260114956,0.3495866874035082,462536.52762231184,573119.6322968568
2024,4,varon,0.6420542695393973,0.5954417491189676,0.07259903505332811,0.3678797977140519,608545.667881716,761596.6335805089
2025,1,mujer,0.4884637729272139,0.43573694451360645,0.10794419430049368,0.387544218349398,451289.71942838095,571818.4420353116
2025,1,varon,0.6025042020540085,0.5613450521893874,0.06831346524107984,0.450475614022423,670657.7546013349,802671.868413069
2025,2,mujer,0.4660170903573523,0.4352851650857776,0.0659459189533345,0.33423591132171265,535294.3560243573,584888.8039433728
2025,2,varon,0.6216459960459116,0.5771034669868792,0.07165256326326083,0.3520100124618624,743609.4815150156,858494.3596663823
2025,3,mujer,0.5333640991283285,0.49489904680695557,0.0721178129241094,0.326000674312822,545988.8006891884,632146.5607013026
2025,3,varon,0.6162092182757049,0.5611413243363852,0.08936557958904327,0.3859172102664147,750146.0982185382,954189.895785541
2025,4,mujer,0.5420607114422806,0.47653450072174275,0.12088352713516153,0.3299509156126109,546529.4534673885,781107.4877550616
2025,4,varon,0.6028250341798587,0.5606498429980118,0.06996257419738061,0.31282375559686,721270.6118803037,1051347.6938468341
