año,mes,edad,n,icg
2016,6,3,582,2.9519753
2016,7,1,203,2.4602847
2016,7,2,405,2.554047
2016,7,3,473,3.0079854
2016,8,1,232,2.3321419
2016,8,2,440,2.3029935
2016,8,3,532,2.8079824
2016,9,1,240,2.4309473
2016,9,2,517,2.212122
2016,9,3,677,2.833208
2016,10,1,180,2.4755418
2016,10,2,368,2.4132442
2016,10,3,435,2.930916
2016,11,1,230,2.2934568
2016,11,2,428,2.4159987
2016,11,3,543,2.694481
2016,12,1,213,2.262833
2016,12,2,455,2.4259112
2016,12,3,544,2.6532588
2017,1,1,181,2.2671537
2017,1,2,467,2.3364909
2017,1,3,551,2.6389017
2017,2,1,209,1.9070739
2017,2,2,440,2.2413442
2017,2,3,551,2.627502
2017,3,1,227,1.974998
2017,3,2,439,2.1469347
2017,3,3,539,2.616549
2017,4,1,205,2.0305777
2017,4,2,424,2.3845356
2017,4,3,572,3.0128093
2017,5,1,224,2.2542293
2017,5,2,435,2.390281
2017,5,3,543,2.7424257
2017,6,1,208,2.1404433
2017,6,2,453,2.169542
2017,6,3,540,2.4658775
2017,7,1,214,2.0472524
2017,7,2,440,2.0459073
2017,7,3,546,2.48617
2017,8,1,231,2.1792738
2017,8,2,470,2.2092092
2017,8,3,498,3.0266936
2017,9,1,210,2.4370625
2017,9,2,430,2.5932932
2017,9,3,565,3.2372477
2017,10,1,189,2.5561006
2017,10,2,408,2.628006
2017,10,3,604,3.0638914
2017,11,1,209,2.6176846
2017,11,2,410,2.8941169
2017,11,3,581,3.1438365
2017,12,1,205,2.0924509
2017,12,2,454,2.2085717
2017,12,3,541,2.6124556
2018,1,1,197,2.0212517
2018,1,2,449,2.012894
2018,1,3,554,2.608067
2018,2,1,209,1.9167273
2018,2,2,444,2.1416466
2018,2,3,551,2.6402109
2018,3,1,210,1.9512815
2018,3,2,454,2.1049135
2018,3,3,547,2.6729016
2018,4,1,195,1.8867857
2018,4,2,442,1.878744
2018,4,3,563,2.2838504
2018,5,1,195,1.7416482
2018,5,2,462,1.7169157
2018,5,3,545,2.2163017
2018,6,1,218,1.8631924
2018,6,2,446,1.863854
2018,6,3,537,2.2809534
2018,7,1,201,1.7284205
2018,7,2,437,1.8212582
2018,7,3,564,2.2897613
2018,8,1,185,1.553491
2018,8,2,451,1.622207
2018,8,3,565,2.3661146
2018,9,1,224,1.4845033
2018,9,2,450,1.4476204
2018,9,3,532,2.1397853
2018,10,1,190,1.3957518
2018,10,2,451,1.5026852
2018,10,3,566,2.1197877
2018,11,1,165,1.286027
2018,11,2,396,1.4216458
2018,11,3,648,2.1206834
2018,12,1,175,1.4122566
2018,12,2,404,1.6568865
2018,12,3,619,2.2680717
2019,1,1,192,1.452743
2019,1,2,437,1.3985627
2019,1,3,586,1.8614951
2019,2,1,167,1.5186598
2019,2,2,389,1.4089303
2019,2,3,646,2.1011481
2019,3,1,198,1.2039386
2019,3,2,453,1.408534
2019,3,3,549,1.9198167
2019,4,1,152,0.9943651
2019,4,2,392,1.2562892
2019,4,3,666,1.8217492
2019,5,1,162,1.1869767
2019,5,2,453,1.4793538
2019,5,3,665,1.8393724
2019,6,1,187,1.425651
2019,6,2,486,1.5487711
2019,6,3,704,2.31464
2019,7,1,166,1.5485184
2019,7,2,387,1.6414533
2019,7,3,413,2.3772197
2019,8,1,216,1.8106956
2019,8,2,436,2.1105735
2019,8,3,553,2.441785
2019,9,1,193,1.5948937
2019,9,2,454,1.7540379
2019,9,3,553,2.1561873
2019,10,1,170,1.5105662
2019,10,2,450,1.8626727
2019,10,3,581,2.286158
2019,11,1,211,1.5900247
2019,11,2,478,1.9379888
2019,11,3,512,2.203747
2019,12,1,212,1.6926419
2019,12,2,448,1.854673
2019,12,3,547,2.1765883
2020,1,1,139,2.3694375
2020,1,2,380,2.4451072
2020,1,3,688,2.2425413
2020,2,1,187,2.4823494
2020,2,2,432,2.3667483
2020,2,3,583,2.124554
2020,3,1,264,2.4934912
2020,3,2,526,2.3789394
2020,3,3,569,2.2326555
2020,4,1,263,3.5849924
2020,4,2,411,3.2008784
2020,4,3,374,3.0730445
2020,5,1,278,3.1812363
2020,5,2,425,3.0583189
2020,5,3,502,2.8420765
2020,6,1,239,2.838591
2020,6,2,456,2.9869235
2020,6,3,506,2.5282645
2020,7,1,218,2.8782654
2020,7,2,425,2.6685913
2020,7,3,559,2.2694774
2020,8,1,200,2.571385
2020,8,2,406,2.5695179
2020,8,3,598,2.17282
2020,9,1,207,2.4173396
2020,9,2,428,2.396975
2020,9,3,735,2.0750606
2020,10,1,165,1.866265
2020,10,2,350,2.174355
2020,10,3,518,1.9078972
2020,11,1,174,2.0938258
2020,11,2,401,2.1649008
2020,11,3,627,1.9001783
2020,12,1,173,1.832863
2020,12,2,380,2.2139978
2020,12,3,650,1.6421933
2021,1,1,147,1.9763541
2021,1,2,364,1.8760104
2021,1,3,690,1.8532506
2021,2,1,176,1.6607202
2021,2,2,398,1.970645
2021,2,3,631,1.7647744
2021,3,1,217,1.6928208
2021,3,2,451,1.9882611
2021,3,3,532,1.6356392
2021,4,1,234,1.7380383
2021,4,2,507,1.8524077
2021,4,3,463,1.5986897
2021,5,1,292,1.9902726
2021,5,2,470,1.9978284
2021,5,3,438,1.8182554
2021,6,1,202,1.6464449
2021,6,2,459,1.7442826
2021,6,3,540,1.6891261
2021,7,1,279,1.7167543
2021,7,2,485,1.7707669
2021,7,3,437,1.606559
2021,8,1,311,1.8035536
2021,8,2,582,1.7533077
2021,8,3,825,1.737767
2021,9,1,194,1.6247914
2021,9,2,394,1.6094825
2021,9,3,91,1.6772854
2021,10,1,255,1.3650352
2021,10,2,483,1.6648122
2021,10,3,464,1.4723194
2021,11,1,270,1.331414
2021,11,2,485,1.6153806
2021,11,3,447,1.3497901
2021,12,1,238,1.4151124
2021,12,2,498,1.4902427
2021,12,3,464,1.3538214
2022,1,1,197,1.3103871
2022,1,2,489,1.7764066
2022,1,3,494,1.4077556
2022,2,1,202,1.5617024
2022,2,2,517,1.5834652
2022,2,3,485,1.3645419
2022,3,1,219,1.2329043
2022,3,2,542,1.6186157
2022,3,3,631,1.461774
2022,4,1,215,1.4759519
2022,4,2,489,1.4127396
2022,4,3,306,1.4991778
2022,5,1,205,1.0486287
2022,5,2,446,1.3924103
2022,5,3,431,1.3341037
2022,6,1,178,1.2535201
2022,6,2,413,1.4641564
2022,6,3,417,1.4019377
2022,7,1,165,0.80410564
2022,7,2,423,1.1839957
2022,7,3,430,1.1750965
2022,8,1,154,1.2081356
2022,8,2,421,1.2581253
2022,8,3,426,1.0994594
2022,9,1,165,1.3807623
2022,9,2,452,1.209611
2022,9,3,587,1.1899496
2022,10,1,133,1.1959211
2022,10,2,404,1.3231624
2022,10,3,262,1.3201294
2022,11,1,155,1.2839912
2022,11,2,422,1.267584
2022,11,3,424,1.0748632
2022,12,1,159,1.0313457
2022,12,2,414,1.3416563
2022,12,3,431,1.2565676
2023,1,1,137,1.2139055
2023,1,2,428,1.3315527
2023,1,3,436,1.2395751
2023,2,1,153,1.1240292
2023,2,2,427,1.1582649
2023,2,3,420,1.2026916
2023,3,1,242,1.2090981
2023,3,2,724,1.2425071
2023,3,3,785,1.0260663
2023,4,1,91,1.1164235
2023,4,2,238,1.2376446
2023,4,3,102,0.83301765
2023,5,1,123,0.938652
2023,5,2,307,1.0958066
2023,5,3,390,1.1673251
2023,6,1,135,1.0804846
2023,6,2,455,1.0450579
2023,6,3,433,1.2119479
2023,7,1,141,1.0689565
2023,7,2,431,1.2743337
2023,7,3,459,1.1231332
2023,8,1,142,1.3803684
2023,8,2,423,1.2498839
2023,8,3,412,1.3199619
2023,9,1,123,0.9818288
2023,9,2,449,1.1185911
2023,9,3,428,0.9581996
2023,10,1,149,1.1235826
2023,10,2,478,1.1351936
2023,10,3,632,1.2820917
2023,11,1,127,1.301386
2023,11,2,380,1.6677864
2023,11,3,235,1.3650925
2023,12,1,156,3.4566689
2023,12,2,402,2.6640358
2023,12,3,451,2.8255727
2024,1,1,146,2.8793328
2024,1,2,417,2.511592
2024,1,3,515,2.5337367
2024,2,1,143,2.4784784
2024,2,2,383,2.6042988
2024,2,3,397,2.6604269
2024,3,1,138,2.5379694
2024,3,2,433,2.4493058
2024,3,3,434,2.6769838
2024,4,1,114,2.7086356
2024,4,2,410,2.2048922
2024,4,3,478,2.5893366
2024,5,1,115,2.6650772
2024,5,2,433,2.3551977
2024,5,3,454,2.6280527
2024,6,1,246,2.5720816
2024,6,2,864,2.3019238
2024,6,3,894,2.575337
2024,7,1,121,2.8089151
2024,7,2,439,2.192894
2024,7,3,444,2.4275982
2024,8,1,127,2.8586395
