anio,trimestre,tramo_etario,tasa_actividad,tasa_empleo,tasa_desocupacion,tasa_informalidad,ingreso_ocupacion_principal_medio_todos_ocupados,ingreso_ocupacion_principal_medio_perceptores
2015,2,40-59,0.8026519100703077,0.778367685192611,0.030254989208920627,0.19287550309466636,8329.744061765878,8329.744061765878
2015,2,60+,0.15922880893149688,0.15922880893149688,0.0,0.2808118682751875,6866.647613603886,6866.647613603886
2016,2,10-24,0.23743719150106216,0.19337700177837303,0.1855656624143148,0.7272675119040789,3291.4980277038803,5043.862227951019
2016,2,25-39,0.8055669805727228,0.7475255193337998,0.07205044724854288,0.273821985345234,7351.946836257101,9809.405930477313
2016,2,40-59,0.8378658020394726,0.8039041016305821,0.040533579871888,0.28533215625689695,9730.818902623681,13629.77073150236
2016,2,60+,0.2730480673895902,0.2730480673895902,0.0,0.26013131084446456,7795.696926375983,10595.476422476157
2016,3,10-24,0.2054069026117603,0.15994345722758943,0.22133358132614153,0.5572289156626506,3830.320673593694,5554.9798289033215
2016,3,25-39,0.8642474801653207,0.8143680946183628,0.057714238909226084,0.27428925404277515,7531.0778118794005,11362.544735607533
2016,3,40-59,0.8386915032219444,0.8007206826531451,0.04527388249783077,0.21322483303580328,9597.564827980475,14306.341924875933
2016,3,60+,0.23254589226602468,0.22907358966642746,0.014931687529552299,0.3326102334355105,6609.925978324028,11309.218158285796
2016,4,10-24,0.22888880093930158,0.17771973105016206,0.22355427473583092,0.6109356775056186,4044.063938239224,6250.274611398963
2016,4,25-39,0.8337584600210863,0.779449942749606,0.06513699095791692,0.331194908620631,7784.974801649347,11459.2845304462
2016,4,40-59,0.8264136896734029,0.7913371384180486,0.042444300830999614,0.24610821515154205,9411.159816479989,14380.878525521857
2016,4,60+,0.23006318029086287,0.23006318029086287,0.0,0.48735475051264526,4555.04271576395,10900.301778907242
2017,1,10-24,0.22328893990582158,0.17081686515442043,0.23499630019083226,0.6008238042542727,2437.079366695515,6258.775793306745
2017,1,25-39,0.7658794855781719,0.7057936012291299,0.07845344532721409,0.32425735243304077,6254.047154815319,10887.05804612209
2017,1,40-59,0.8451288516972634,0.8055963680547436,0.04677687143579008,0.31655259658114115,7105.277041524675,12903.627034454936
2017,1,60+,0.22819872988209822,0.22494421779485352,0.014261744966442953,0.3125352907961604,6270.016140865738,10724.692250053522
2017,2,10-24,0.2979061684339765,0.21660844333935442,0.2728970854211759,0.5848365488346421,4153.166415202055,7527.171655995847
2017,2,25-39,0.8046044507861592,0.7092281096506874,0.11853817244272258,0.3279456612143055,6928.039494861953,10783.440167805908
2017,2,40-59,0.7997783848424009,0.7738757419170809,0.03238727554561791,0.28490636837967265,7804.277836059996,13067.934067249013
2017,2,60+,0.24294983059097808,0.24294983059097808,0.0,0.29353186646433993,9135.637456501106,15211.769011198126
2017,3,10-24,0.26549119056786646,0.2025040827436037,0.23724744948989798,0.6401001767825575,4690.876606346708,7932.7074948330255
2017,3,25-39,0.8685797540773632,0.8326253095380411,0.04139452292151815,0.33230357002127825,7361.94123604292,12910.690900727834
2017,3,40-59,0.8258047989070105,0.7883430718372226,0.045363900911414096,0.27299417818170885,9322.894036455915,14593.091269549894
2017,3,60+,0.25180283111256196,0.2484494168620352,0.013317619328226282,0.33252407209283186,6065.969899665552,12653.114509511377
2017,4,10-24,0.22500648941298623,0.19781121370564023,0.12086440608133163,0.7113404657016992,5928.110134739309,8135.050446436928
2017,4,25-39,0.8365561405708077,0.7730610923070494,0.07590052261218679,0.4030581199255898,8727.317214072878,14607.667112623822
2017,4,40-59,0.8710492977742831,0.8439431666775877,0.031118940301033744,0.2264720955951771,8942.02157188796,17233.45846178378
2017,4,60+,0.27656001842803973,0.268697792272347,0.028428643447383994,0.3930416666666667,8385.281775932861,20728.66848811625
2018,1,10-24,0.20213939172841214,0.16162429396299044,0.20043148155831225,0.7169110822350102,6305.240763802408,8780.333333333334
2018,1,25-39,0.8022775731205138,0.7408623093658278,0.07655114116652578,0.3652461764089671,12260.86192376698,16598.11984207496
2018,1,40-59,0.8187386765593996,0.774251828244023,0.05433583338498729,0.21316051340001013,11667.122650166488,17883.54457557624
2018,1,60+,0.23097870525080877,0.2271961321056561,0.016376285168995874,0.346180063971475,8160.5658133567,14714.338474752174
2018,2,10-24,0.2207381905998486,0.16615843987768722,0.2472601164929491,0.7501702224239674,6351.042329523761,8816.545989365313
2018,2,25-39,0.8458808604018562,0.7746645484261778,0.08419189428384194,0.3307138470848945,11911.603974711745,15222.62588235294
2018,2,40-59,0.8037084043343935,0.7585744841151456,0.05615708380781015,0.3114336110092384,12606.368441751489,18357.956659546613
2018,2,60+,0.17567292935380563,0.15903627966950953,0.09470240944630605,0.3379939657075576,8262.853617696308,15662.861042861043
2018,3,10-24,0.2521004124446255,0.1719028463771068,0.318117552009695,0.6789883800410116,6375.752863349131,9709.476498284255
2018,3,25-39,0.8628061317737367,0.7868100612263548,0.08808012338895986,0.3542444975539891,10170.175884321397,14845.190818095003
2018,3,40-59,0.8516891859495018,0.807112513305396,0.052339131903394696,0.26975868671282344,12442.546618904196,18748.58744206656
2018,3,60+,0.28779841798203226,0.27014567450517196,0.06133718038006169,0.3241730279898219,9848.577031109227,15527.566440854613
2018,4,10-24,0.20355424009152975,0.1631244481476415,0.198619257086999,0.7326717174879469,7134.291377601586,10309.861651321944
2018,4,25-39,0.8354981232805261,0.7917301614899209,0.05238546990237782,0.3605166906641511,10990.872850813172,17217.77477215032
2018,4,40-59,0.8537217679383693,0.8338495517050982,0.02327715771059699,0.21479210085756262,15343.75287729632,21103.883678309616
2018,4,60+,0.24687858088902778,0.2387308957245115,0.033002802977787155,0.3945839385764682,9146.481112080788,13124.411711330227
2019,1,10-24,0.30653683403707216,0.22069128165123883,0.2800497129667988,0.7000346941135654,9371.656391286477,10920.63344772043
2019,1,25-39,0.8728881780907198,0.7860592920164008,0.099473092033668,0.3201767641701314,14751.964934320125,19616.690521472592
2019,1,40-59,0.8458730023588568,0.8065386907593916,0.046501438738173334,0.2566783464060692,16035.524452944537,23765.061133505966
2019,1,60+,0.18971165542408494,0.16803052084485237,0.11428467339429488,0.5349470882707053,11869.67752550181,20132.67674305217
2019,2,10-24,0.31544492337828534,0.22406711849685612,0.2896791107075382,0.7995577358106906,7149.088659793814,9791.26439209887
2019,2,25-39,0.8819621737091649,0.8035585890689314,0.08889676561807709,0.32265440773646475,15761.207246461385,20171.777233261866
2019,2,40-59,0.8273646277667999,0.7781084968816728,0.059533764475861034,0.20930213065562503,19976.416339898547,26665.42679316123
2019,2,60+,0.23583089038339944,0.22763982295798127,0.03473280116994699,0.39594079389997755,10142.506786187741,16478.205751316324
2019,3,10-24,0.28591677683228894,0.210439405726067,0.2639837086247475,0.8218940270719066,5822.234317594231,10134.603840804275
2019,3,25-39,0.8559170068457749,0.8029439996624579,0.061890354741907856,0.3188311015049887,15113.328120176297,21885.294351780503
2019,3,40-59,0.8696610792322695,0.8212397885631908,0.055678346226353766,0.21084018623775547,18301.012041212038,29425.855792737293
2019,3,60+,0.20911787464534434,0.20550683518184162,0.017267961763798953,0.43747262374069207,9013.796673988076,18835.5781837252
2019,4,10-24,0.2359086973774395,0.19006799898993543,0.19431542328497428,0.7636522630642584,10680.864985409598,16475.41868159837
2019,4,25-39,0.8620061765975582,0.7909919084358155,0.08238255141285017,0.3096828538937792,17813.650484893435,23552.28939911549
2019,4,40-59,0.8486848732844349,0.8094157604133186,0.04627054647403287,0.2692492968470778,20282.16855331002,28640.068535903327
2019,4,60+,0.2010610734114744,0.19412708204811843,0.034486990672557685,0.4885375923511517,14627.110080081353,26067.947000148877
2020,1,10-24,0.2268527184548626,0.1786607674636263,0.21243717650588853,0.7471089281273315,8097.585484331841,14485.667276898477
2020,1,25-39,0.7988092450747567,0.7286628535750521,0.08781369511207883,0.3060550985268797,16859.226526099963,25849.547122007865
2020,1,40-59,0.8356655639802102,0.7787259580198483,0.06813683417701565,0.24199872344305645,18036.47519156908,32509.65156916195
2020,1,60+,0.19538316711461587,0.19538316711461587,0.0,0.34510958456002616,13251.345227288597,33172.90741860264
2020,2,10-24,0.19133083524718966,0.12029010032636286,0.37129788739512787,0.5467831851740244,3059.0859761244424,11866.383040092298
2020,2,25-39,0.7545621777121106,0.7016898404093973,0.07007021934630522,0.17668428005284015,22047.882502231147,30052.177471210616
2020,2,40-59,0.6735841992404977,0.6352055080934159,0.056976828123872086,0.12894107221976076,21217.139860835752,38484.92205421095
2020,2,60+,0.12250059718689842,0.12250059718689842,0.0,0.2792640654164074,25248.164716678137,33343.48232046442
2020,3,10-24,0.19967352076388276,0.15450236500771947,0.22622506771731102,0.7945511217147035,5408.395124590268,9811.765346103613
2020,3,25-39,0.7370840227983085,0.6993337875690817,0.05121564714686074,0.1740738349733932,18322.56330949159,30160.500752316344
2020,3,40-59,0.7579094369469573,0.719165554402096,0.05111940906941478,0.14286542545096134,17735.35365686005,32500.488032050627
2020,3,60+,0.1731401592856281,0.16234011101725596,0.06237748834778063,0.3581323755772191,10103.080139372822,43010.86662153013
2020,4,10-24,0.22055297434501173,0.17609369647891654,0.20158094896760448,0.6618630526128899,11373.064166188684,17760.787674727067
2020,4,25-39,0.843143706397051,0.7701779530105902,0.08654011508697665,0.3328265389300532,15462.912545436115,26813.955768439173
2020,4,40-59,0.8732439021255265,0.8036983560481746,0.07964046002276563,0.19507670407220631,22913.368410951894,41488.302081632006
2020,4,60+,0.1781613869572879,0.1781613869572879,0.0,0.21281451792473838,18498.018031726708,52842.03348430106
2021,1,10-24,0.20303154140506,0.17284615670394174,0.14867337602927722,0.7070915776571529,8308.484685652875,17425.39349959117
2021,1,25-39,0.8030569156239475,0.7417631667573379,0.07632553518200705,0.28140007861769584,17871.590623341064,33167.13158081567
2021,1,40-59,0.8285400377907114,0.8042933657885141,0.029264333521951107,0.22170303996481777,21960.40262133693,47634.187294337215
2021,1,60+,0.22852777687481715,0.22634983584175797,0.009530312082159825,0.2597429735659806,13328.268612132353,38813.72898261613
2021,2,10-24,0.2300906928136441,0.20551018657710243,0.10682964154682258,0.718980621183966,10900.557947456287,21710.284894123197
2021,2,25-39,0.8142233433588824,0.7248714465896964,0.10973880508090847,0.24733600379032605,18913.265517818305,39902.736959669615
2021,2,40-59,0.8344687821266423,0.7937205172727586,0.04883138318252822,0.2061618334669641,21377.29562905535,44675.90456638452
2021,2,60+,0.23407329475714536,0.22674381904260915,0.03131273784196806,0.3728246621163495,36720.18064835437,81255.81355759082
2021,3,10-24,0.1647217559249833,0.12971787512860777,0.2125030819384708,0.7599673054218509,10839.525499199888,23489.410927211247
2021,3,25-39,0.7998348404629152,0.7296303237595465,0.08777376672256108,0.34100242236476863,23009.829025525767,75780.53955168932
2021,3,40-59,0.8233805076108206,0.7978871827432371,0.030961778463224326,0.19340448047142472,23438.538618194765,55558.95095625828
2021,3,60+,0.17520668694989347,0.16916080863622446,0.03450712081210724,0.1966263198557816,17134.75832851916,59475.54334249313
2021,4,10-24,0.19393138596574017,0.18437544240479448,0.0492748686003504,0.7094896788990825,14404.980676204857,28602.908848673254
2021,4,25-39,0.8095168547530909,0.7679487251504036,0.0513493071313085,0.36739175621085735,21308.41775716658,46099.41634904509
2021,4,40-59,0.7997713617502171,0.7907523681948486,0.01127696487610069,0.18074526676921113,23561.96206966953,67191.06408698554
2021,4,60+,0.1834414206129953,0.168074087135981,0.0837724295072629,0.1123542295625407,34608.70409947542,72716.98640342709
2022,1,10-24,0.2118766064395361,0.19297228728483806,0.08922324872185847,0.6798033985674469,13627.028091685748,30578.9815023686
2022,1,25-39,0.7917829827419807,0.7434491132304563,0.061044339882302054,0.3102279807782586,21359.344356116388,47519.53974656841
2022,1,40-59,0.8283649297722145,0.7903809766392548,0.04585412994657398,0.20188605886882208,33864.850089198364,73706.23028609758
2022,1,60+,0.24444977799111964,0.2304344805371162,0.057334056791463195,0.23796317695092828,47129.289551584254,97467.00373940064
2022,2,10-24,0.16376401814444436,0.15163013781798312,0.07409368959033975,0.6723714039401003,28191.82611182611,38316.19408726234
2022,2,25-39,0.790232987935295,0.7534833980522042,0.04650475295787047,0.398978471929084,40229.230684433176,56637.74752874267
2022,2,40-59,0.8111261555700813,0.7892707068820618,0.02694457395799156,0.1831209692567779,42690.21390627403,71495.61195942474
2022,2,60+,0.2626581679937962,0.23897158492683448,0.09018026451597418,0.24870236458009848,57774.03440270156,105859.89720611493
2022,3,10-24,0.27768404976069755,0.2426677558848862,0.12610120713086578,0.7500158955556027,29162.226938417065,37874.87316192278
2022,3,25-39,0.8868406050370023,0.8263688722421426,0.06818782591978469,0.4473759549173535,59090.71095150288,75161.36870364472
2022,3,40-59,0.884651483065836,0.8652341447079853,0.021949138988111107,0.2851918634543387,68185.97842499168,91460.3591788958
2022,3,60+,0.2707252837566075,0.2437972019699526,0.09946644588565383,0.31496558859250595,60453.456597798606,81459.0584560464
2022,4,10-24,0.1961682613474602,0.15095410562733122,0.2304866006843181,0.6205148054964196,31319.068934646373,49629.09955423477
2022,4,25-39,0.9147477429633564,0.8720021242697823,0.046729406027390896,0.34226743974036394,58517.00507923361,84617.91169495066
2022,4,40-59,0.8708916503161107,0.8312012208415086,0.045574474689469756,0.22336002771596467,88605.45542290018,115492.9622078391
2022,4,60+,0.23202257960036224,0.2173154335798846,0.06338670161244374,0.1583686717972881,77862.00079082641,132933.65097425686
2023,1,10-24,0.26677674038869403,0.2068078468576537,0.22479056248931442,0.6979362591431557,42097.43725464249,70581.74783017658
2023,1,25-39,0.9027361971732925,0.8459434459573706,0.06291179127828828,0.31191937508718093,69725.5561303673,110961.46142767125
2023,1,40-59,0.8707207974398737,0.8410991690346639,0.03401966335512431,0.253537516611696,80655.13878749448,131149.53378129087
2023,1,60+,0.24919538115943932,0.23353651327456879,0.06283771317114314,0.38103275489213567,83838.30684854451,153996.5535825722
2023,2,10-24,0.24223313948137662,0.20779556580083355,0.14216706167568252,0.7264864571753925,42966.01075608985,83911.49441571628
2023,2,25-39,0.9266668035142458,0.8526767386484934,0.07984538194867478,0.48871063354018623,73639.88059414044,110609.68053030639
2023,2,40-59,0.9106303372202351,0.8913460699642327,0.02117683374668696,0.2817395741394528,86475.0129135742,141850.54837312174
2023,2,60+,0.3259212084779154,0.3259212084779154,0.0,0.2808114314876244,67516.99264047919,137363.32179930795
2023,3,10-24,0.26842783676398285,0.2018391293370364,0.24806930693069307,0.5645210571879615,57643.294489433145,97428.98179887027
2023,3,25-39,0.9218493764894149,0.867668115001412,0.058774527455164,0.36542,111545.638693321,164658.98730149548
2023,3,40-59,0.8865145841306443,0.8491108064508316,0.04219194850188801,0.20617325704188896,138070.93384148428,190955.8401593231
2023,3,60+,0.2864661978515035,0.2730242275951754,0.04692340791738382,0.406884827879303,110906.61188740152,167247.3726758286
2023,4,10-24,0.2218550116093907,0.17918494070759458,0.19233313952322714,0.6093033979882987,77469.61572832886,133796.31463719768
2023,4,25-39,0.8942515842606521,0.8423549268016542,0.05803362093219544,0.3974211124481883,146577.5666274649,204819.69950884598
2023,4,40-59,0.8486516034985423,0.8236014941690962,0.029517541976209902,0.2679730879068449,187890.05348540074,272435.3783745979
2023,4,60+,0.30583942064304603,0.301957779299169,0.012691762676360052,0.4727444880292168,99642.1840873635,188321.26023319276
2024,1,10-24,0.262884485687699,0.18235058094368134,0.3063471187101174,0.746840728163447,119205.8754681648,169084.49291713675
2024,1,25-39,0.9018423595647241,0.8386517373219613,0.07006836790551951,0.32623233478898434,208833.80509249403,329214.1310198921
2024,1,40-59,0.86398471678627,0.8337108334404517,0.035039836651771746,0.2769003887920633,222224.423284474,322350.92359317996
2024,1,60+,0.29917221910614455,0.28947060237547845,0.03242820058510858,0.2866162405451022,298201.4521761349,561789.2209039695
2024,2,10-24,0.27832925895745364,0.19788297075503536,0.2890328113679043,0.8158492944115595,164737.3237386132,217707.9919100936
2024,2,25-39,0.8915713337971878,0.8061088547650254,0.09585601935874168,0.44043661580670407,339145.5755913151,410421.3494008969
2024,2,40-59,0.871318893776794,0.839889975435942,0.036070511686738596,0.27966696001320057,381797.0575315959,525951.6166228495
2024,2,60+,0.341890978275827,0.3129214256226779,0.08473330533389332,0.44811849479583665,268466.4639975527,401893.89295469236
2024,3,10-24,0.25147051213495936,0.18656529763855587,0.25810268546146725,0.5820243833286078,219604.61826503018,311734.33195510926
2024,3,25-39,0.8614996595122197,0.7576130545537088,0.12058809752441624,0.4692346050405055,401765.641541217,499327.2315190576
2024,3,40-59,0.898251279635161,0.8676818362707384,0.034032173465802326,0.2757708953205302,525271.948969371,659355.27717571
2024,3,60+,0.2658278422501967,0.24744910503540518,0.06913774365851967,0.46851738865161685,326478.62483543233,447395.60546875
