fecha,icg,desocupacion,salario_real,tc_oficial,reservas,ipc,icc,resultado_fiscal,emae,tasa_informalidad,pct_sin_cobertura_salud,hacinamiento_medio,pct_hogares_ayuda_social_gobierno,pct_hogares_prestamo_bancario,pct_hogares_vendio_pertenencias
2006-04-01,2.536851406097412,0.1032490983875941,7049.023221238041,3.048,21865.790643640747,20.783872517058995,54.0247044812362,32580.550108946663,122.08710730131628,0.3783215502094315,0.3141317393649869,1.0818827264593929,0.0012943732585846785,0.11636751795522646,0.0912280996667409
2006-05-01,2.4966673851013184,0.1032490983875941,7199.688256616622,3.085,23691.466643454238,20.866736814879822,56.76464284330011,32451.16886302665,133.37101567477424,0.3783215502094315,0.3141317393649869,1.0818827264593929,0.0012943732585846785,0.11636751795522646,0.0912280996667409
2006-06-01,2.6917495727539062,0.1032490983875941,7263.32279064719,3.086,24837.24345984632,21.03472534591658,58.52571256921373,32192.005783971574,124.29274775102324,0.3783215502094315,0.3141317393649869,1.0818827264593929,0.0012943732585846785,0.11636751795522646,0.0912280996667409
2006-07-01,2.5335967540740967,0.1009459815221814,7339.423334374841,3.072,26041.48176873208,21.184634393792432,57.73608166666667,26826.991178404794,117.0456318535268,0.367711804626499,0.29780105614949093,1.0651249547895278,0.013698288752284432,0.1215484299717561,0.054984216647283604
2006-08-01,2.4123165607452393,0.1009459815221814,7426.252056081419,3.097,27023.60180531968,21.3209838292976,55.85891502630122,26655.430375546755,116.30360797574892,0.367711804626499,0.29780105614949093,1.0651249547895278,0.013698288752284432,0.1215484299717561,0.054984216647283604
2006-09-01,2.480743408203125,0.1009459815221814,7507.3692719917435,3.104,27739.49738280611,21.265238756218142,58.94861816225165,26725.305392295144,114.80248033323907,0.367711804626499,0.29780105614949093,1.0651249547895278,0.013698288752284432,0.1215484299717561,0.054984216647283604
2006-10-01,2.5433332920074463,0.0862436738102024,7653.684278726108,3.089,28389.58319711936,21.353376236627557,59.725017142200144,13767.377895760323,116.47750825324565,0.3694281392844723,0.2759825400217001,1.0681844888193506,0.028693097064484883,0.1023486572971029,0.048975655208771805
2006-11-01,2.437633752822876,0.0862436738102024,7681.11650068594,3.068,29760.028946123683,21.37371565518358,57.58815805880714,13754.276736094951,118.14078229406633,0.3694281392844723,0.2759825400217001,1.0681844888193506,0.028693097064484883,0.1023486572971029,0.048975655208771805
2006-12-01,2.334057331085205,0.0862436738102024,7796.035280350593,3.062,31167.122699482483,21.458086576601147,57.11060380854588,13700.196378206845,119.60317208093002,0.3694281392844723,0.2759825400217001,1.0681844888193506,0.028693097064484883,0.1023486572971029,0.048975655208771805
2007-01-01,2.687875986099243,0.0968933553822826,7866.192070200069,3.107,32827.50114916266,21.533417756438258,60.97433823504984,16293.74416864674,114.70176482722368,0.3724197659730574,0.3067256553866428,1.1064067741712043,0.014170522033008498,0.10827017094858418,0.04225727597860682
2007-02-01,2.582695484161377,0.0968933553822826,7960.546099426344,3.1,34225.55619138565,21.71195265265221,59.53691790656353,16159.76257930633,112.74324828605302,0.3724197659730574,0.3067256553866428,1.1064067741712043,0.014170522033008498,0.10827017094858418,0.04225727597860682
2007-03-01,2.594649076461792,0.0968933553822826,8076.512463994896,3.1,35875.78996539419,21.84754877635901,58.84356519933554,16059.46752157669,129.28276498944658,0.3724197659730574,0.3067256553866428,1.1064067741712043,0.014170522033008498,0.10827017094858418,0.04225727597860682
